time_seconds,process_tree_memory_mb,pid
0.057,6.375,53260
300.46,243.32,53260
600.852,21.59,53260
901.239,21.578,53260
1201.624,21.578,53260
1502.014,21.578,53260
1802.4,21.578,53260
2102.759,21.578,53260
2403.165,21.578,53260
2703.561,21.578,53260
3003.943,23.297,53260
3304.354,23.297,53260
3604.847,23.297,53260
3905.256,23.297,53260
4205.653,23.297,53260
4506.024,23.297,53260
4806.437,23.297,53260
5106.875,23.297,53260
5407.295,23.465,53260
5707.686,23.465,53260
6008.117,23.465,53260
6308.549,23.465,53260
6608.982,22.969,53260
6909.396,22.969,53260
7209.923,22.969,53260
7510.326,22.969,53260
7810.709,22.969,53260
8111.068,22.969,53260
8411.422,22.969,53260
8711.78,22.969,53260
9012.11,22.969,53260
9312.462,22.969,53260
9612.812,22.969,53260
9913.169,22.969,53260
10213.537,22.969,53260
10513.896,21.148,53260
10814.321,21.148,53260
11114.674,21.148,53260
11415.023,21.148,53260
11715.381,21.148,53260
12015.74,21.148,53260
12316.101,21.148,53260
12616.441,21.148,53260
12916.775,84.965,53260
13217.135,396.652,53260
13517.495,2142.93,53260
13818.331,3316.352,53260
14118.7,3414.328,53260
14419.037,1961.332,53260
14584.769,0.0,53260
